step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc
55,2.349,7.9982,1.2698,5.1317,-1.7061,-1.123,1.6666,5.112,9.019,10.279,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7467,-1.1156,1.7,2.6806,-0.5417,0,0,0,0.537,0.191,0.809,0,0,0.0
56,2.383,7.9636,1.2467,5.165,-1.7253,-1.1578,1.6661,5.145,8.977,10.259,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7456,-1.1146,1.7,2.6794,-0.5418,0,0,0,0.527,0.192,0.808,0,0,0.0
57,2.417,7.9288,1.2229,5.1983,-1.741,-1.188,1.6672,5.178,8.935,10.238,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7445,-1.1136,1.7,2.6783,-0.5352,0,0,0,0.522,0.189,0.811,0,0,0.0
58,2.45,7.8937,1.1986,5.2317,-1.7568,-1.2138,1.6687,5.212,8.892,10.217,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7435,-1.1125,1.7,2.6772,-0.5367,0,0,0,0.512,0.184,0.816,0,0,0.0
59,2.484,7.8583,1.1739,5.2651,-1.7688,-1.2349,1.6705,5.245,8.849,10.196,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7425,-1.1113,1.7,2.676,-0.5273,0,0,0,0.506,0.176,0.824,0,0,0.0
60,2.517,7.8227,1.1489,5.2986,-1.7802,-1.2517,1.6731,5.279,8.806,10.175,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7415,-1.1101,1.7,2.6749,-0.527,0,0,0,0.496,0.166,0.834,0,0,0.0
61,2.551,7.787,1.1236,5.3321,-1.7877,-1.2637,1.6759,5.312,8.762,10.155,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7404,-1.1089,1.7,2.6737,-0.5233,0,0,0,0.491,0.167,0.833,0,0,0.0
62,2.585,7.7511,1.0982,5.3657,-1.7947,-1.2712,1.6789,5.346,8.718,10.134,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7394,-1.1077,1.7,2.6726,-0.5219,0,0,0,0.481,0.159,0.841,0,0,0.0
63,2.619,7.7151,1.0727,5.3993,-1.7971,-1.2739,1.6814,5.379,8.674,10.113,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7385,-1.1064,1.7,2.6714,-0.534,0,0,0,0.479,0.158,0.842,0,0,0.0
64,2.653,7.6792,1.0473,5.433,-1.7985,-1.2723,1.6841,5.413,8.63,10.093,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7375,-1.1052,1.7,2.6702,-0.5304,0,0,0,0.47,0.153,0.847,0,0,0.0
