step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc
49,4.036,20.2222,7.5894,26.6723,-1.5261,-0.888,1.6871,1.327,30.482,40.373,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7025,-1.2087,1.7,2.6925,-0.6024,0,0,0,0.69,0.15,0.85,0,0,0.0
50,4.108,20.1913,7.5705,26.706,-1.5476,-0.9419,1.6859,1.354,30.446,40.368,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.729,-1.2487,1.7,2.7274,-0.5556,0,0,0,0.622,0.143,0.857,0,0,0.0
51,4.18,20.1599,7.5506,26.7397,-1.5694,-0.9967,1.6843,1.381,30.409,40.362,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7554,-1.2888,1.7,2.7627,-0.5914,0,0,0,0.608,0.146,0.854,0,0,0.0
52,4.246,20.128,7.5297,26.7733,-1.592,-1.0483,1.6835,1.408,30.371,40.355,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7817,-1.329,1.7,2.7983,-0.5445,0,0,0,0.596,0.134,0.866,0,0,0.0
53,4.311,20.0957,7.5076,26.807,-1.6151,-1.1003,1.6825,1.436,30.332,40.348,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7975,-1.3533,1.7,2.82,-0.5799,0,0,0,0.57,0.131,0.869,0,0,0.0
54,4.377,20.063,7.4847,26.8406,-1.6389,-1.1485,1.6815,1.463,30.292,40.34,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7975,-1.3534,1.7,2.82,-0.533,0,0,0,0.433,0.124,0.876,0,0,0.0
55,4.443,20.0297,7.4608,26.8742,-1.663,-1.1962,1.6786,1.491,30.251,40.332,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7974,-1.3534,1.7,2.82,-0.5498,0,0,0,0.374,0.121,0.879,0,0,0.0
56,4.508,19.9959,7.436,26.9077,-1.6879,-1.2397,1.6758,1.524,30.209,40.323,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7974,-1.3535,1.7,2.82,-0.5064,0,0,0,0.342,0.123,0.877,0,0,0.0
57,4.574,19.9617,7.4103,26.9412,-1.712,-1.2813,1.6734,1.592,30.167,40.313,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7974,-1.3535,1.7,2.82,-0.5412,0,0,0,0.265,0.125,0.875,0,0,0.0
58,4.639,19.927,7.384,26.9746,-1.7351,-1.3171,1.6717,1.662,30.123,40.302,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7974,-1.3535,1.7,2.82,-0.4967,0,0,0,0.262,0.127,0.873,0,0,0.0
59,4.705,19.8919,7.357,27.008,-1.7572,-1.3509,1.6706,1.733,30.079,40.291,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7974,-1.3534,1.7,2.82,-0.5317,0,0,0,0.263,0.119,0.881,0,0,0.0
60,4.771,19.8563,7.3294,27.0414,-1.7781,-1.3788,1.6702,1.804,30.034,40.28,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7975,-1.3534,1.7,2.82,-0.4941,0,0,0,0.265,0.128,0.872,0,0,0.0
61,4.836,19.8203,7.3013,27.0748,-1.7979,-1.4044,1.6703,1.876,29.988,40.268,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7975,-1.3533,1.7,2.82,-0.5204,0,0,0,0.266,0.131,0.869,0,0,0.0
62,4.902,19.784,7.2728,27.1083,-1.8158,-1.4246,1.6714,1.949,29.942,40.256,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7975,-1.3533,1.7,2.82,-0.4734,0,0,0,0.267,0.134,0.866,0,0,0.0
63,4.968,19.7474,7.244,27.1417,-1.8308,-1.4422,1.6732,2.022,29.895,40.244,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7976,-1.3532,1.7,2.82,-0.5099,0,0,0,0.265,0.13,0.87,0,0,0.0
64,5.033,19.7105,7.2149,27.1752,-1.843,-1.4532,1.6754,2.096,29.848,40.232,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7976,-1.3532,1.7,2.82,-0.4703,0,0,0,0.263,0.127,0.873,0,0,0.0
65,5.099,19.6735,7.1857,27.2088,-1.8523,-1.4613,1.678,2.169,29.801,40.219,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7977,-1.3531,1.7,2.82,-0.5076,0,0,0,0.261,0.129,0.871,0,0,0.0
66,5.165,19.6363,7.1564,27.2424,-1.8592,-1.4632,1.6802,2.246,29.754,40.207,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7977,-1.353,1.7,2.82,-0.4866,0,0,0,0.261,0.123,0.877,0,0,0.0
67,5.231,19.599,7.1272,27.276,-1.8639,-1.4626,1.6824,2.334,29.707,40.194,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7978,-1.353,1.7,2.82,-0.5094,0,0,0,0.26,0.119,0.881,0,0,0.0
68,5.298,19.5617,7.098,27.3097,-1.8652,-1.458,1.6841,2.422,29.659,40.182,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7978,-1.3529,1.7,2.82,-0.4904,0,0,0,0.26,0.119,0.881,0,0,0.0
69,5.365,19.5244,7.069,27.3434,-1.8645,-1.4516,1.6858,2.51,29.612,40.17,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7978,-1.3529,1.7,2.82,-0.5246,0,0,0,0.261,0.122,0.878,0,0,0.0
70,5.432,19.4872,7.0401,27.3772,-1.8614,-1.4423,1.687,2.597,29.565,40.158,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7979,-1.3528,1.7,2.82,-0.4742,0,0,0,0.258,0.126,0.874,0,0,0.0
71,5.498,19.4501,7.0115,27.4109,-1.8564,-1.4331,1.688,2.685,29.518,40.147,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7979,-1.3528,1.7,2.82,-0.5134,0,0,0,0.26,0.128,0.872,0,0,0.0
72,5.565,19.4131,6.9831,27.4447,-1.8493,-1.4202,1.6885,2.771,29.471,40.135,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7979,-1.3528,1.7,2.82,-0.5042,0,0,0,0.259,0.128,0.872,0,0,0.0
73,5.632,19.3763,6.9549,27.4785,-1.8404,-1.4071,1.6886,2.858,29.425,40.124,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7979,-1.3528,1.7,2.82,-0.5085,0,0,0,0.261,0.119,0.881,0,0,0.0
74,5.699,19.3396,6.927,27.5122,-1.8331,-1.3935,1.6887,2.943,29.379,40.113,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7979,-1.3527,1.7,2.82,-0.4986,0,0,0,0.26,0.117,0.883,0,0,0.0
75,5.766,19.3032,6.8994,27.546,-1.8235,-1.3799,1.6884,3.029,29.333,40.103,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7979,-1.3527,1.7,2.82,-0.5035,0,0,0,0.261,0.117,0.883,0,0,0.0
