step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad
55,2.451,7.9814,1.3313,5.1315,-1.7259,-0.9947,1.6749,5.111,9.038,10.296,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7397,-1.1277,1.7,2.6811,-0.573,0,0,0,0.556,0.209,0.791,0,0,0.0,5,SEARCH_PHASE,-1.7259,-0.9947
56,2.485,7.9465,1.3106,5.1649,-1.7442,-1.0363,1.6727,5.145,8.997,10.276,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7383,-1.1272,1.7,2.68,-0.5251,0,0,0,0.548,0.206,0.794,0,0,0.0,5,SEARCH_PHASE,-1.7442,-1.0363
57,2.519,7.9113,1.2891,5.1984,-1.761,-1.0767,1.6707,5.178,8.956,10.257,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.737,-1.1266,1.7,2.6789,-0.5483,0,0,0,0.544,0.202,0.798,0,0,0.0,5,SEARCH_PHASE,-1.761,-1.0767
58,2.552,7.8757,1.2668,5.2318,-1.7764,-1.112,1.67,5.212,8.914,10.236,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7357,-1.126,1.7,2.6778,-0.4999,0,0,0,0.535,0.196,0.804,0,0,0.0,5,SEARCH_PHASE,-1.7764,-1.112
59,2.586,7.8399,1.2439,5.2652,-1.7892,-1.1448,1.6703,5.245,8.872,10.216,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7344,-1.1252,1.7,2.6766,-0.5363,0,0,0,0.531,0.2,0.8,0,0,0.0,5,SEARCH_PHASE,-1.7892,-1.1448
60,2.62,7.804,1.2205,5.2986,-1.7993,-1.1711,1.6716,5.279,8.829,10.195,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7332,-1.1244,1.7,2.6755,-0.4869,0,0,0,0.52,0.194,0.806,0,0,0.0,5,SEARCH_PHASE,-1.7993,-1.1711
61,2.655,7.7678,1.1966,5.3321,-1.8068,-1.1944,1.6736,5.312,8.786,10.175,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.732,-1.1235,1.7,2.6744,-0.5241,0,0,0,0.515,0.19,0.81,0,0,0.0,5,SEARCH_PHASE,-1.8068,-1.1944
62,2.688,7.7316,1.1724,5.3656,-1.8114,-1.211,1.6759,5.346,8.742,10.154,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7308,-1.1226,1.7,2.6732,-0.4873,0,0,0,0.504,0.181,0.819,0,0,0.0,5,SEARCH_PHASE,-1.8114,-1.211
63,2.723,7.6953,1.1479,5.3992,-1.8133,-1.2243,1.6786,5.379,8.698,10.134,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7297,-1.1216,1.7,2.672,-0.5252,0,0,0,0.499,0.177,0.823,0,0,0.0,5,SEARCH_PHASE,-1.8133,-1.2243
64,2.757,7.6591,1.1233,5.4328,-1.8134,-1.2316,1.681,5.413,8.654,10.113,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7285,-1.1206,1.7,2.6709,-0.4794,0,0,0,0.488,0.166,0.834,0,0,0.0,5,SEARCH_PHASE,-1.8134,-1.2316
65,2.791,7.6228,1.0985,5.4664,-1.8118,-1.2366,1.6834,5.446,8.611,10.093,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7274,-1.1196,1.7,2.6697,-0.5178,0,0,0,0.484,0.162,0.838,0,0,0.0,5,SEARCH_PHASE,-1.8118,-1.2366
66,2.825,7.5867,1.0738,5.5001,-1.8078,-1.2358,1.6853,5.48,8.567,10.074,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7263,-1.1186,1.7,2.6686,-0.4963,0,0,0,0.473,0.155,0.845,0,0,0.0,5,SEARCH_PHASE,-1.8078,-1.2358
67,2.859,7.5506,1.0492,5.5339,-1.8017,-1.2328,1.6868,5.514,8.523,10.055,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7252,-1.1175,1.7,2.6674,-0.5144,0,0,0,0.47,0.154,0.846,0,0,0.0,5,SEARCH_PHASE,-1.8017,-1.2328
68,2.892,7.5147,1.0246,5.5676,-1.7955,-1.2262,1.6881,5.548,8.48,10.036,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.724,-1.1165,1.7,2.6662,-0.5044,0,0,0,0.459,0.15,0.85,0,0,0.0,5,SEARCH_PHASE,-1.7955,-1.2262
69,2.926,7.479,1.0003,5.6014,-1.787,-1.2179,1.6889,5.581,8.436,10.017,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7229,-1.1155,1.7,2.6651,-0.5087,0,0,0,0.457,0.148,0.852,0,0,0.0,5,SEARCH_PHASE,-1.787,-1.2179
70,2.96,7.4434,0.9761,5.6352,-1.7797,-1.2075,1.6895,5.615,8.393,10.0,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7218,-1.1145,1.7,2.664,-0.4978,0,0,0,0.447,0.151,0.849,0,0,0.0,5,SEARCH_PHASE,-1.7797,-1.2075
71,2.993,7.408,0.9522,5.669,-1.7697,-1.1955,1.6896,5.649,8.351,9.982,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7207,-1.1135,1.7,2.6628,-0.5161,0,0,0,0.446,0.145,0.855,0,0,0.0,5,SEARCH_PHASE,-1.7697,-1.1955
72,3.025,7.3728,0.9286,5.7028,-1.7604,-1.1816,1.6896,5.683,8.308,9.965,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7196,-1.1126,1.7,2.6617,-0.5038,0,0,0,0.436,0.141,0.859,0,0,0.0,5,SEARCH_PHASE,-1.7604,-1.1816
73,3.057,7.3378,0.9052,5.7366,-1.7495,-1.1673,1.6895,5.717,8.266,9.949,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7184,-1.1117,1.7,2.6606,-0.5108,0,0,0,0.437,0.147,0.853,0,0,0.0,5,SEARCH_PHASE,-1.7495,-1.1673
74,3.089,7.303,0.8822,5.7704,-1.7404,-1.1523,1.6892,5.75,8.224,9.933,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7173,-1.1108,1.7,2.6595,-0.4978,0,0,0,0.428,0.136,0.864,0,0,0.0,5,SEARCH_PHASE,-1.7404,-1.1523
75,3.119,7.2684,0.8595,5.8041,-1.7293,-1.1372,1.6887,5.784,8.183,9.918,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7161,-1.11,1.7,2.6584,-0.5168,0,0,0,0.429,0.14,0.86,0,0,0.0,5,SEARCH_PHASE,-1.7293,-1.1372
76,3.151,7.234,0.837,5.8379,-1.7197,-1.1214,1.6884,5.818,8.142,9.903,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.715,-1.1092,1.7,2.6573,-0.5051,0,0,0,0.421,0.134,0.866,0,0,0.0,5,SEARCH_PHASE,-1.7197,-1.1214
77,3.181,7.1998,0.8149,5.8717,-1.7092,-1.1065,1.6881,5.852,8.101,9.889,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7138,-1.1084,1.7,2.6562,-0.5142,0,0,0,0.424,0.136,0.864,0,0,0.0,5,SEARCH_PHASE,-1.7092,-1.1065
78,3.21,7.1658,0.7931,5.9054,-1.701,-1.0922,1.688,5.885,8.061,9.876,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7126,-1.1077,1.7,2.6552,-0.4996,0,0,0,0.418,0.131,0.869,0,0,0.0,5,SEARCH_PHASE,-1.701,-1.0922
79,3.239,7.132,0.7715,5.9392,-1.6916,-1.0792,1.6879,5.919,8.021,9.863,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7114,-1.107,1.7,2.6541,-0.5096,0,0,0,0.422,0.144,0.856,0,0,0.0,5,SEARCH_PHASE,-1.6916,-1.0792
