step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad,pad_frame_dx,pad_frame_dy
31,0.841,-26.7538,21.6687,0.8819,-1.1974,0.2145,1.393,0.551,74.09,74.093,36.1244,-17.5185,0.2,0.0,0.0,0.0,-1.4708,0.348,1.536,2.1549,-0.0658,0,0,0,0.888,0.557,0.443,0,0,0.0,4,SEARCH_PHASE,-1.1974,0.2145,-62.8782,39.1872
32,0.87,-26.7789,21.6732,0.9107,-1.253,0.2274,1.4401,0.58,74.114,74.117,36.1244,-17.5185,0.2,0.0,0.0,0.0,-1.5154,0.3657,1.584,2.2224,-0.1023,0,0,0,0.887,0.552,0.448,0,0,0.0,4,SEARCH_PHASE,-1.253,0.2274,-62.9033,39.1917
33,0.899,-26.805,21.6781,0.9405,-1.308,0.2425,1.487,0.61,74.138,74.142,36.1244,-17.5185,0.2,0.0,0.0,0.0,-1.56,0.3835,1.632,2.29,-0.0694,0,0,0,0.882,0.554,0.446,0,0,0.0,4,SEARCH_PHASE,-1.308,0.2425,-62.9295,39.1966
34,0.928,-26.8323,21.6832,0.9712,-1.3603,0.2556,1.5346,0.641,74.164,74.168,36.1244,-17.5185,0.2,0.0,0.0,0.0,-1.6058,0.3977,1.68,2.3578,-0.1057,0,0,0,0.88,0.545,0.455,0,0,0.0,4,SEARCH_PHASE,-1.3603,0.2556,-62.9567,39.2017
35,0.958,-26.8605,21.6886,1.0028,-1.4125,0.2713,1.5818,0.672,74.191,74.195,36.1244,-17.5185,0.2,0.0,0.0,0.0,-1.651,0.4139,1.7,2.4057,-0.0755,0,0,0,0.876,0.547,0.453,0,0,0.0,4,SEARCH_PHASE,-1.4125,0.2713,-62.9849,39.2071
36,0.987,-26.8897,21.6943,1.0352,-1.4599,0.2849,1.6192,0.705,74.219,74.223,36.1244,-17.5185,0.2,0.0,0.0,0.0,-1.696,0.4307,1.7,2.4396,-0.1168,0,0,0,0.875,0.544,0.456,0,0,0.0,4,SEARCH_PHASE,-1.4599,0.2849,-63.0141,39.2128
37,1.017,-26.9198,21.7003,1.0681,-1.5041,0.3002,1.6438,0.738,74.247,74.253,36.1244,-17.5185,0.2,0.0,0.0,0.0,-1.738,0.4539,1.7,2.4732,-0.0788,0,0,0,0.87,0.546,0.454,0,0,0.0,4,SEARCH_PHASE,-1.5041,0.3002,-63.0442,39.2188
38,1.047,-26.9507,21.7066,1.1013,-1.5435,0.3135,1.6602,0.771,74.277,74.282,36.1244,-17.5185,0.2,0.0,0.0,0.0,-1.7787,0.4794,1.7,2.5067,-0.0998,0,0,0,0.869,0.547,0.453,0,0,0.0,4,SEARCH_PHASE,-1.5435,0.3135,-63.0751,39.2251
39,1.076,-26.9823,21.7132,1.1347,-1.5812,0.3288,1.671,0.804,74.307,74.313,36.1244,-17.5185,0.2,0.0,0.0,0.0,-1.8133,0.5127,1.7,2.5379,-0.0616,0,0,0,0.864,0.544,0.456,0,0,0.0,4,SEARCH_PHASE,-1.5812,0.3288,-63.1067,39.2317
40,1.105,-27.0146,21.72,1.1683,-1.6157,0.3435,1.6786,0.838,74.338,74.345,36.1244,-17.5185,0.2,0.0,0.0,0.0,-1.8465,0.5473,1.7,2.5689,-0.0902,0,0,0,0.862,0.515,0.485,0,0,0.0,4,SEARCH_PHASE,-1.6157,0.3435,-63.139,39.2385
