step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad,pad_frame_dx,pad_frame_dy
29,2.503,20.7563,7.7525,26.024,-1.0329,-0.0122,1.3029,0.446,31.008,40.353,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.1659,-0.4215,1.44,1.9002,-0.7305,0,0,0,0.559,0.108,0.892,0,0,0.0,3,SEARCH_PHASE,-1.0329,-0.0122,24.8929,18.4886
30,2.587,20.7348,7.7517,26.051,-1.0748,-0.04,1.3525,0.473,30.99,40.357,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.1933,-0.4609,1.488,1.9623,-0.6788,0,0,0,0.618,0.12,0.88,0,0,0.0,3,SEARCH_PHASE,-1.0748,-0.04,24.8714,18.4878
31,2.671,20.7126,7.7503,26.079,-1.1118,-0.074,1.4015,0.501,30.971,40.36,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.2267,-0.4264,1.536,2.0114,-0.7117,0,0,0,0.953,0.12,0.88,0,0,0.0,3,SEARCH_PHASE,-1.1118,-0.074,24.8492,18.4863
32,2.753,20.6897,7.7481,26.108,-1.1458,-0.1096,1.4492,0.53,30.952,40.364,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.2522,-0.467,1.584,2.0725,-0.6598,0,0,0,0.688,0.115,0.885,0,0,0.0,3,SEARCH_PHASE,-1.1458,-0.1096,24.8263,18.4842
33,2.832,20.6661,7.7451,26.1379,-1.1775,-0.1505,1.4958,0.56,30.931,40.367,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.2778,-0.5076,1.632,2.134,-0.6423,0,0,0,0.73,0.136,0.864,0,0,0.0,3,SEARCH_PHASE,-1.1775,-0.1505,24.8027,18.4811
34,2.91,20.6419,7.7412,26.1688,-1.2088,-0.1926,1.5429,0.591,30.909,40.37,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.3033,-0.5482,1.68,2.1958,-0.651,0,0,0,0.732,0.134,0.866,0,0,0.0,3,SEARCH_PHASE,-1.2088,-0.1926,24.7786,18.4773
35,2.988,20.6172,7.7365,26.2006,-1.235,-0.2342,1.5909,0.622,30.887,40.374,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.3288,-0.5889,1.7,2.2367,-0.6349,0,0,0,0.743,0.151,0.849,0,0,0.0,3,SEARCH_PHASE,-1.235,-0.2342,24.7539,18.4726
36,3.066,20.592,7.731,26.2332,-1.26,-0.2751,1.629,0.655,30.863,40.377,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.3543,-0.6296,1.7,2.2629,-0.642,0,0,0,0.725,0.149,0.851,0,0,0.0,3,SEARCH_PHASE,-1.26,-0.2751,24.7287,18.4671
37,3.142,20.5664,7.7248,26.2663,-1.2791,-0.3134,1.6538,0.688,30.839,40.379,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.3797,-0.6703,1.7,2.2898,-0.648,0,0,0,0.738,0.152,0.848,0,0,0.0,3,SEARCH_PHASE,-1.2791,-0.3134,24.7031,18.4608
38,3.217,20.5405,7.7177,26.2997,-1.2977,-0.3512,1.6699,0.721,30.814,40.382,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.4051,-0.7111,1.7,2.3173,-0.654,0,0,0,0.73,0.154,0.846,0,0,0.0,3,SEARCH_PHASE,-1.2977,-0.3512,24.6771,18.4538
39,3.292,20.5142,7.7099,26.3333,-1.3132,-0.3896,1.6803,0.755,30.788,40.384,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.4305,-0.7518,1.7,2.3455,-0.641,0,0,0,0.745,0.153,0.847,0,0,0.0,3,SEARCH_PHASE,-1.3132,-0.3896,24.6509,18.446
40,3.368,20.4876,7.7013,26.367,-1.33,-0.4301,1.6867,0.789,30.762,40.386,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.4558,-0.7926,1.7,2.3744,-0.6461,0,0,0,0.734,0.14,0.86,0,0,0.0,3,SEARCH_PHASE,-1.33,-0.4301,24.6243,18.4374
41,3.443,20.4607,7.6919,26.4008,-1.3448,-0.4718,1.6908,0.823,30.735,40.387,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.4811,-0.8334,1.7,2.4038,-0.6344,0,0,0,0.748,0.159,0.841,0,0,0.0,3,SEARCH_PHASE,-1.3448,-0.4718,24.5974,18.428
42,3.518,20.4335,7.6816,26.4347,-1.3615,-0.5158,1.6927,0.857,30.707,40.388,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.5063,-0.8742,1.7,2.4338,-0.6207,0,0,0,0.738,0.153,0.847,0,0,0.0,3,SEARCH_PHASE,-1.3615,-0.5158,24.5701,18.4177
43,3.594,20.406,7.6704,26.4685,-1.3769,-0.5614,1.6937,0.891,30.678,40.388,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.5315,-0.915,1.7,2.4643,-0.6105,0,0,0,0.753,0.157,0.843,0,0,0.0,3,SEARCH_PHASE,-1.3769,-0.5614,24.5426,18.4064
44,3.67,20.3781,7.6582,26.5024,-1.3936,-0.6078,1.694,1.198,30.648,40.387,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.5567,-0.9559,1.7,2.4954,-0.6141,0,0,0,0.741,0.154,0.846,0,0,0.0,3,SEARCH_PHASE,-1.3936,-0.6078,24.5147,18.3943
