step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad
52,0.405,-7.0243,7.5331,2.8998,-1.3872,0.2696,1.7066,3.49,14.044,14.302,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.6057,0.6992,1.7,2.4407,0.492,0,0,0,0.721,0.368,0.632,0,0,0.0,2,SEARCH_PHASE,-1.3872,0.2696
53,0.412,-7.0524,7.5395,2.9339,-1.4033,0.3161,1.7061,3.524,14.023,14.287,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.6346,0.7375,1.7,2.471,0.5299,0,0,0,0.721,0.373,0.627,0,0,0.0,2,SEARCH_PHASE,-1.4033,0.3161
54,0.42,-7.0808,7.5467,2.968,-1.4207,0.3638,1.7057,3.558,14.0,14.271,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.6587,0.779,1.7,2.4996,0.4848,0,0,0,0.718,0.371,0.629,0,0,0.0,2,SEARCH_PHASE,-1.4207,0.3638
55,0.428,-7.1096,7.555,3.0021,-1.4398,0.416,1.7037,3.592,13.976,14.254,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.6812,0.8214,1.7,2.5281,0.4811,0,0,0,0.716,0.367,0.633,0,0,0.0,2,SEARCH_PHASE,-1.4398,0.416
56,0.435,-7.1388,7.5644,3.0361,-1.4608,0.4693,1.7019,3.625,13.951,14.236,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.6947,0.8675,1.7,2.5524,0.4776,0,0,0,0.711,0.363,0.637,0,0,0.0,2,SEARCH_PHASE,-1.4608,0.4693
57,0.443,-7.1685,7.5749,3.0701,-1.4822,0.5234,1.7,3.659,13.925,14.218,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.7061,0.9141,1.7,2.5761,0.4752,0,0,0,0.709,0.361,0.639,0,0,0.0,2,SEARCH_PHASE,-1.4822,0.5234
58,0.451,-7.1986,7.5865,3.1041,-1.508,0.5783,1.6972,3.693,13.898,14.198,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.7081,0.9621,1.7,2.5948,0.4297,0,0,0,0.703,0.353,0.647,0,0,0.0,2,SEARCH_PHASE,-1.508,0.5783
59,0.458,-7.2293,7.5991,3.1379,-1.5344,0.6338,1.6942,3.727,13.869,14.177,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.7093,1.01,1.7,2.6138,0.4747,0,0,0,0.701,0.356,0.644,0,0,0.0,2,SEARCH_PHASE,-1.5344,0.6338
60,0.466,-7.2605,7.6129,3.1718,-1.5618,0.6866,1.6916,3.761,13.84,14.155,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.7062,1.0579,1.7,2.6307,0.4397,0,0,0,0.698,0.354,0.646,0,0,0.0,2,SEARCH_PHASE,-1.5618,0.6866
61,0.474,-7.2923,7.6277,3.2056,-1.59,0.7405,1.6886,3.796,13.809,14.132,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.7054,1.1059,1.7,2.6498,0.4668,0,0,0,0.697,0.349,0.651,0,0,0.0,2,SEARCH_PHASE,-1.59,0.7405
