step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc
43,0.326,-6.7884,7.5135,2.5936,-1.3047,0.0544,1.6937,0.888,14.203,14.403,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.4184,0.3994,1.7,2.2497,0.549,0,0,0,0.728,0.372,0.628,0,0,0.0
44,0.334,-6.8148,7.515,2.6276,-1.3164,0.0735,1.6966,0.922,14.185,14.392,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.4464,0.4384,1.7,2.2747,0.5389,0,0,0,0.729,0.378,0.622,0,0,0.0
45,0.341,-6.8414,7.5169,2.6615,-1.3303,0.0964,1.6988,3.253,14.168,14.38,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.475,0.4769,1.7,2.3007,0.5408,0,0,0,0.728,0.38,0.62,0,0,0.0
46,0.349,-6.8682,7.5194,2.6956,-1.3424,0.1227,1.7009,3.287,14.15,14.368,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.5066,0.5131,1.7,2.3287,0.5239,0,0,0,0.728,0.382,0.618,0,0,0.0
47,0.357,-6.8953,7.5224,2.7296,-1.3563,0.1529,1.7023,3.321,14.131,14.355,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.5373,0.5499,1.7,2.3571,0.5248,0,0,0,0.726,0.381,0.619,0,0,0.0
48,0.364,-6.9227,7.5262,2.7637,-1.3691,0.1857,1.7037,3.355,14.111,14.342,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.5701,0.585,1.7,2.3869,0.511,0,0,0,0.726,0.381,0.619,0,0,0.0
49,0.372,-6.9504,7.5306,2.7978,-1.3844,0.2217,1.7044,3.389,14.091,14.328,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.6009,0.6218,1.7,2.4165,0.5112,0,0,0,0.724,0.37,0.63,0,0,0.0
50,0.38,-6.9784,7.5358,2.8319,-1.3989,0.2598,1.7049,3.423,14.07,14.314,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.6299,0.6601,1.7,2.4459,0.4918,0,0,0,0.722,0.366,0.634,0,0,0.0
51,0.388,-7.0067,7.5418,2.866,-1.4161,0.3005,1.7048,3.457,14.048,14.299,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.6554,0.7007,1.7,2.4741,0.5004,0,0,0,0.719,0.372,0.628,0,0,0.0
52,0.395,-7.0354,7.5486,2.9001,-1.4339,0.3425,1.705,3.491,14.025,14.283,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.6803,0.7418,1.7,2.5027,0.487,0,0,0,0.717,0.368,0.632,0,0,0.0
53,0.403,-7.0645,7.5564,2.9341,-1.4549,0.3866,1.7045,3.524,14.002,14.266,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.6996,0.7857,1.7,2.529,0.4871,0,0,0,0.714,0.362,0.638,0,0,0.0
54,0.41,-7.094,7.565,2.9682,-1.476,0.4323,1.704,3.558,13.977,14.249,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.7195,0.8294,1.7,2.5563,0.4809,0,0,0,0.713,0.363,0.637,0,0,0.0
55,0.418,-7.124,7.5746,3.0023,-1.5006,0.4795,1.7028,3.592,13.952,14.23,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.7348,0.8749,1.7,2.5817,0.4812,0,0,0,0.71,0.362,0.638,0,0,0.0
56,0.426,-7.1545,7.5852,3.0363,-1.5248,0.5281,1.7016,3.626,13.925,14.211,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.7515,0.9199,1.7,2.6085,0.4748,0,0,0,0.709,0.357,0.643,0,0,0.0
57,0.433,-7.1856,7.5967,3.0703,-1.5521,0.5782,1.6994,3.66,13.897,14.19,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.7624,0.9666,1.7,2.6326,0.4577,0,0,0,0.705,0.357,0.643,0,0,0.0
58,0.441,-7.2171,7.6093,3.1042,-1.5787,0.6298,1.6973,3.694,13.868,14.169,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.7738,1.0133,1.7,2.6576,0.454,0,0,0,0.704,0.355,0.645,0,0,0.0
59,0.448,-7.2493,7.623,3.1382,-1.6067,0.6814,1.6952,3.728,13.838,14.147,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.7795,1.0609,1.7,2.6799,0.4543,0,0,0,0.701,0.351,0.649,0,0,0.0
60,0.456,-7.2819,7.6376,3.172,-1.6327,0.7331,1.6933,3.763,13.807,14.123,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.7871,1.1083,1.7,2.7041,0.45,0,0,0,0.701,0.354,0.646,0,0,0.0
61,0.464,-7.3151,7.6533,3.2058,-1.66,0.7851,1.6913,3.798,13.775,14.099,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.7893,1.1563,1.7,2.7255,0.45,0,0,0,0.698,0.352,0.648,0,0,0.0
62,0.471,-7.3488,7.6701,3.2396,-1.6848,0.8373,1.6895,3.833,13.741,14.074,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.7961,1.2038,1.7,2.7505,0.4468,0,0,0,0.698,0.353,0.647,0,0,0.0
63,0.479,-7.383,7.6879,3.2734,-1.7106,0.8897,1.6875,3.868,13.707,14.047,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.7944,1.2517,1.7,2.7707,0.4385,0,0,0,0.696,0.351,0.649,0,0,0.0
64,0.486,-7.4177,7.7067,3.3071,-1.7333,0.9425,1.6857,3.903,13.671,14.02,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.7974,1.2996,1.7,2.7946,0.4326,0,0,0,0.695,0.351,0.649,0,0,0.0
65,0.494,-7.4528,7.7266,3.3408,-1.756,0.9951,1.6844,3.938,13.635,13.992,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.7786,1.3438,1.7,2.8034,0.4311,0,0,0,0.692,0.349,0.651,0,0,0.0
66,0.501,-7.4883,7.7476,3.3744,-1.775,1.0471,1.683,3.973,13.597,13.962,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.7881,1.3323,1.7,2.804,0.4304,0,0,0,0.692,0.346,0.654,0,0,0.0
67,0.509,-7.5242,7.7695,3.408,-1.7935,1.098,1.6799,4.008,13.558,13.932,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.7584,1.3691,1.7,2.8029,0.4076,0,0,0,0.689,0.345,0.655,0,0,0.0
68,0.516,-7.5603,7.7925,3.4416,-1.8079,1.1486,1.6769,4.042,13.518,13.901,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.7275,1.4058,1.7,2.8019,0.402,0,0,0,0.686,0.339,0.661,0,0,0.0
69,0.524,-7.5967,7.8164,3.4751,-1.82,1.1973,1.6757,4.077,13.478,13.87,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.7443,1.3826,1.7,2.8007,0.4104,0,0,0,0.686,0.344,0.656,0,0,0.0
70,0.532,-7.6333,7.8413,3.5086,-1.8293,1.2434,1.6739,4.111,13.436,13.837,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.713,1.419,1.652,2.7708,0.4021,0,0,0,0.683,0.351,0.649,0,0,0.0
71,0.539,-7.67,7.867,3.5417,-1.8323,1.2843,1.6562,4.145,13.394,13.804,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.681,1.4548,1.604,2.7413,0.378,0,0,0,0.681,0.349,0.651,0,0,0.0
72,0.547,-7.7066,7.8934,3.5743,-1.8333,1.3213,1.6287,4.179,13.351,13.771,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.6481,1.4897,1.556,2.7123,0.3977,0,0,0,0.678,0.348,0.652,0,0,0.0
73,0.554,-7.7433,7.9205,3.6062,-1.8311,1.354,1.5951,4.211,13.308,13.737,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.6491,1.4862,1.508,2.6837,0.3971,0,0,0,0.678,0.347,0.653,0,0,0.0
74,0.562,-7.7798,7.9482,3.6373,-1.827,1.3845,1.5557,4.244,13.264,13.702,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.6155,1.5205,1.46,2.6558,0.3799,0,0,0,0.677,0.342,0.658,0,0,0.0
75,0.569,-7.8162,7.9765,3.6676,-1.8187,1.4139,1.5143,4.275,13.22,13.667,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.5933,1.5415,1.412,2.6284,0.3629,0,0,0,0.675,0.338,0.662,0,0,0.0
76,0.577,-7.8523,8.0053,3.697,-1.8084,1.4417,1.4718,4.305,13.176,13.632,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.5587,1.5747,1.364,2.6019,0.3533,0,0,0,0.67,0.334,0.666,0,0,0.0
77,0.585,-7.8882,8.0347,3.7256,-1.7941,1.4673,1.4285,4.336,13.131,13.596,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.5232,1.607,1.316,2.5757,0.351,0,0,0,0.67,0.332,0.668,0,0,0.0
78,0.592,-7.9238,8.0645,3.7533,-1.7786,1.4904,1.3848,4.365,13.086,13.56,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.5168,1.6105,1.268,2.5499,0.3838,0,0,0,0.67,0.335,0.665,0,0,0.0
79,0.6,-7.959,8.0947,3.7801,-1.7595,1.5115,1.3399,4.394,13.041,13.524,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.4888,1.6343,1.22,2.5251,0.3348,0,0,0,0.669,0.335,0.665,0,0,0.0
80,0.608,-7.9937,8.1253,3.806,-1.7375,1.533,1.2943,4.422,12.996,13.487,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.4762,1.6436,1.172,2.5009,0.3581,0,0,0,0.669,0.339,0.661,0,0,0.0
