step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad
32,2.898,20.6923,7.7546,26.1082,-1.13,-0.0366,1.4541,0.53,30.958,40.369,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.2466,-0.5364,1.584,2.0859,-0.6788,0,0,0,0.692,0.11,0.89,0,0,0.0,3,SEARCH_PHASE,-1.13,-0.0366
33,2.989,20.669,7.7532,26.1383,-1.1634,-0.0726,1.5035,0.56,30.938,40.373,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.2739,-0.5759,1.632,2.1489,-0.6921,0,0,0,0.708,0.125,0.875,0,0,0.0,3,SEARCH_PHASE,-1.1634,-0.0726
34,3.07,20.6452,7.751,26.1693,-1.1926,-0.1114,1.5528,0.591,30.918,40.377,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.3052,-0.5395,1.68,2.1947,-0.6701,0,0,0,0.947,0.155,0.845,0,0,0.0,3,SEARCH_PHASE,-1.1926,-0.1114
35,3.158,20.6207,7.7479,26.2013,-1.2221,-0.1544,1.5992,0.623,30.896,40.381,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.3304,-0.5803,1.7,2.2353,-0.6787,0,0,0,0.754,0.164,0.836,0,0,0.0,3,SEARCH_PHASE,-1.2221,-0.1544
36,3.24,20.5958,7.7439,26.234,-1.246,-0.1985,1.6362,0.656,30.874,40.385,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.3555,-0.6212,1.7,2.2613,-0.6314,0,0,0,0.748,0.152,0.848,0,0,0.0,3,SEARCH_PHASE,-1.246,-0.1985
37,3.319,20.5705,7.739,26.2672,-1.2685,-0.2437,1.6588,0.689,30.851,40.389,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.3807,-0.6621,1.7,2.2879,-0.6741,0,0,0,0.761,0.16,0.84,0,0,0.0,3,SEARCH_PHASE,-1.2685,-0.2437
38,3.397,20.5446,7.7333,26.3007,-1.2908,-0.2871,1.6735,0.722,30.827,40.392,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.4058,-0.703,1.7,2.3153,-0.6269,0,0,0,0.753,0.152,0.848,0,0,0.0,3,SEARCH_PHASE,-1.2908,-0.2871
39,3.475,20.5184,7.7266,26.3343,-1.3121,-0.3333,1.682,0.756,30.802,40.395,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.4308,-0.744,1.7,2.3432,-0.6659,0,0,0,0.767,0.148,0.852,0,0,0.0,3,SEARCH_PHASE,-1.3121,-0.3333
40,3.552,20.4917,7.719,26.3681,-1.3337,-0.3789,1.6875,0.79,30.776,40.397,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.4559,-0.7849,1.7,2.3718,-0.6192,0,0,0,0.744,0.143,0.857,0,0,0.0,3,SEARCH_PHASE,-1.3337,-0.3789
41,3.63,20.4646,7.7105,26.4019,-1.3545,-0.4277,1.6899,0.824,30.749,40.398,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.4808,-0.8259,1.7,2.401,-0.6482,0,0,0,0.76,0.149,0.851,0,0,0.0,3,SEARCH_PHASE,-1.3545,-0.4277
42,3.708,20.4371,7.701,26.4357,-1.3756,-0.4763,1.6917,0.857,30.721,40.399,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.5058,-0.8669,1.7,2.4308,-0.6007,0,0,0,0.726,0.153,0.847,0,0,0.0,3,SEARCH_PHASE,-1.3756,-0.4763
43,3.784,20.4092,7.6904,26.4695,-1.3957,-0.5275,1.6922,0.892,30.693,40.4,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.5307,-0.9079,1.7,2.4612,-0.6295,0,0,0,0.725,0.155,0.845,0,0,0.0,3,SEARCH_PHASE,-1.3957,-0.5275
