step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad,pad_frame_dx,pad_frame_dy
39,0.321,4.2456,1.3128,4.8763,-1.3596,-0.3323,1.6827,0.756,12.075,12.949,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.5199,-0.7447,1.7,2.3989,-0.6867,0,0,0,0.529,0.224,0.776,0,0,0.0,2,SEARCH_PHASE,-1.3596,-0.3323,10.247,6.3887
40,0.329,4.2179,1.3053,4.9101,-1.3838,-0.3747,1.6894,0.79,12.048,12.936,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.5499,-0.7822,1.7,2.4298,-0.6389,0,0,0,0.527,0.221,0.779,0,0,0.0,2,SEARCH_PHASE,-1.3838,-0.3747,10.2193,6.3812
41,0.336,4.1898,1.2969,4.9439,-1.4073,-0.4198,1.6929,0.824,12.02,12.922,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.5797,-0.8198,1.7,2.4612,-0.6723,0,0,0,0.531,0.222,0.778,0,0,0.0,2,SEARCH_PHASE,-1.4073,-0.4198,10.1912,6.3728
42,0.344,4.1612,1.2876,4.9778,-1.4314,-0.4639,1.6952,0.858,11.99,12.907,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.6094,-0.8575,1.7,2.4931,-0.6244,0,0,0,0.528,0.224,0.776,0,0,0.0,2,SEARCH_PHASE,-1.4314,-0.4639,10.1625,6.3635
43,0.352,4.1321,1.2774,5.0118,-1.4553,-0.5105,1.6959,0.892,11.96,12.892,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.639,-0.8953,1.7,2.5254,-0.6576,0,0,0,0.531,0.223,0.777,0,0,0.0,2,SEARCH_PHASE,-1.4553,-0.5105,10.1334,6.3533
44,0.36,4.1025,1.2663,5.0457,-1.4799,-0.5559,1.6961,5.138,11.929,12.876,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.6684,-0.9333,1.7,2.5582,-0.61,0,0,0,0.527,0.221,0.779,0,0,0.0,2,SEARCH_PHASE,-1.4799,-0.5559,10.1038,6.3422
45,0.367,4.0724,1.2542,5.0796,-1.5047,-0.6036,1.6956,5.171,11.898,12.859,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.6976,-0.9714,1.7,2.5914,-0.6436,0,0,0,0.528,0.224,0.776,0,0,0.0,2,SEARCH_PHASE,-1.5047,-0.6036,10.0737,6.3301
46,0.375,4.0417,1.2412,5.1135,-1.5304,-0.6496,1.6952,5.204,11.865,12.842,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.7266,-1.0096,1.7,2.625,-0.5999,0,0,0,0.523,0.223,0.777,0,0,0.0,2,SEARCH_PHASE,-1.5304,-0.6496,10.0431,6.3171
47,0.382,4.0106,1.2273,5.1474,-1.5565,-0.6976,1.6942,5.237,11.831,12.824,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.7553,-1.0481,1.7,2.6589,-0.6334,0,0,0,0.525,0.221,0.779,0,0,0.0,2,SEARCH_PHASE,-1.5565,-0.6976,10.012,6.3032
48,0.39,3.979,1.2124,5.1812,-1.5833,-0.7439,1.6935,5.269,11.796,12.805,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.7837,-1.0868,1.7,2.6931,-0.586,0,0,0,0.52,0.218,0.782,0,0,0.0,2,SEARCH_PHASE,-1.5833,-0.7439,9.9803,6.2883
49,0.398,3.9467,1.1966,5.2151,-1.6102,-0.7919,1.6922,5.302,11.76,12.785,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.8116,-1.1258,1.7,2.7275,-0.6192,0,0,0,0.52,0.218,0.782,0,0,0.0,2,SEARCH_PHASE,-1.6102,-0.7919,9.9481,6.2725
50,0.405,3.914,1.1798,5.2489,-1.6379,-0.8378,1.6913,5.335,11.724,12.765,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.8315,-1.1555,1.7,2.7531,-0.5718,0,0,0,0.515,0.214,0.786,0,0,0.0,2,SEARCH_PHASE,-1.6379,-0.8378,9.9154,6.2557
51,0.413,3.8807,1.1621,5.2827,-1.6658,-0.8849,1.6897,5.368,11.686,12.744,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.8301,-1.1552,1.7,2.7521,-0.605,0,0,0,0.513,0.21,0.79,0,0,0.0,2,SEARCH_PHASE,-1.6658,-0.8849,9.8821,6.238
52,0.42,3.8468,1.1435,5.3164,-1.6943,-0.929,1.6866,5.4,11.648,12.722,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.8287,-1.1549,1.7,2.751,-0.5694,0,0,0,0.51,0.209,0.791,0,0,0.0,2,SEARCH_PHASE,-1.6943,-0.929,9.8482,6.2194
53,0.428,3.8123,1.1241,5.3501,-1.723,-0.9737,1.6821,5.433,11.608,12.699,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.8274,-1.1545,1.652,2.7205,-0.5457,0,0,0,0.504,0.216,0.784,0,0,0.0,2,SEARCH_PHASE,-1.723,-0.9737,9.8137,6.1999
54,0.435,3.7774,1.1038,5.3833,-1.7486,-1.0126,1.6614,5.465,11.568,12.676,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.8261,-1.154,1.604,2.6905,-0.5731,0,0,0,0.503,0.218,0.782,0,0,0.0,2,SEARCH_PHASE,-1.7486,-1.0126,9.7787,6.1797
55,0.443,3.742,1.0829,5.4159,-1.7703,-1.0461,1.6309,5.496,11.527,12.652,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.8248,-1.1534,1.556,2.6611,-0.5285,0,0,0,0.495,0.212,0.788,0,0,0.0,2,SEARCH_PHASE,-1.7703,-1.0461,9.7433,6.1588
56,0.45,3.7062,1.0614,5.4478,-1.7894,-1.0772,1.5932,5.527,11.485,12.627,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.8234,-1.1528,1.508,2.6321,-0.5557,0,0,0,0.494,0.211,0.789,0,0,0.0,2,SEARCH_PHASE,-1.7894,-1.0772,9.7075,6.1372
57,0.458,3.67,1.0393,5.4788,-1.8068,-1.1041,1.5519,5.556,11.443,12.601,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.8222,-1.1521,1.46,2.6037,-0.5132,0,0,0,0.486,0.205,0.795,0,0,0.0,2,SEARCH_PHASE,-1.8068,-1.1041,9.6714,6.1151
58,0.465,3.6336,1.0167,5.509,-1.8218,-1.1293,1.5084,5.585,11.4,12.575,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.8209,-1.1514,1.412,2.5759,-0.5499,0,0,0,0.485,0.205,0.795,0,0,0.0,2,SEARCH_PHASE,-1.8218,-1.1293,9.635,6.0926
