step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad,pad_frame_dx,pad_frame_dy
28,1.265,8.7411,1.5482,4.2549,-0.9998,0.0766,1.2527,0.419,9.796,10.602,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.172,-0.2908,1.392,1.8428,-0.7194,0,0,0,0.523,0.161,0.839,0,0,0.0,5,SEARCH_PHASE,-0.9998,0.0766,8.3439,5.1329
29,1.305,8.7203,1.5495,4.281,-1.0443,0.0615,1.3017,0.445,9.779,10.596,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.201,-0.3291,1.44,1.9038,-0.7658,0,0,0,0.543,0.173,0.827,0,0,0.0,5,SEARCH_PHASE,-1.0443,0.0615,8.323,5.1341
30,1.347,8.6985,1.5503,4.308,-1.087,0.0436,1.3516,0.472,9.761,10.59,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.2299,-0.3675,1.488,1.9651,-0.7138,0,0,0,0.55,0.18,0.82,0,0,0.0,5,SEARCH_PHASE,-1.087,0.0436,8.3012,5.135
31,1.388,8.676,1.5507,4.336,-1.1259,0.0177,1.4009,0.5,9.742,10.584,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.2586,-0.4059,1.536,2.0269,-0.7392,0,0,0,0.566,0.21,0.79,0,0,0.0,5,SEARCH_PHASE,-1.1259,0.0177,8.2787,5.1354
32,1.431,8.6527,1.5505,4.365,-1.1628,-0.0116,1.4507,0.529,9.722,10.577,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.2873,-0.4444,1.584,2.0889,-0.6874,0,0,0,0.57,0.205,0.795,0,0,0.0,5,SEARCH_PHASE,-1.1628,-0.0116,8.2555,5.1351
33,1.471,8.6288,1.5495,4.395,-1.1956,-0.047,1.4997,0.559,9.701,10.57,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.3078,-0.401,1.632,2.1294,-0.7217,0,0,0,0.951,0.225,0.775,0,0,0.0,5,SEARCH_PHASE,-1.1956,-0.047,8.2316,5.1342
34,1.513,8.6043,1.5479,4.4259,-1.2256,-0.0839,1.5468,0.59,9.68,10.562,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.3342,-0.4411,1.68,2.1902,-0.67,0,0,0,0.58,0.216,0.784,0,0,0.0,5,SEARCH_PHASE,-1.2256,-0.0839,8.207,5.1325
35,1.554,8.5792,1.5453,4.4578,-1.2538,-0.1262,1.5931,0.622,9.657,10.554,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.3574,-0.399,1.7,2.2118,-0.6586,0,0,0,0.946,0.23,0.77,0,0,0.0,5,SEARCH_PHASE,-1.2538,-0.1262,8.182,5.13
36,1.596,8.5536,1.542,4.4904,-1.28,-0.1675,1.6281,0.655,9.634,10.546,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.3815,-0.4406,1.7,2.2344,-0.6646,0,0,0,0.585,0.222,0.778,0,0,0.0,5,SEARCH_PHASE,-1.28,-0.1675,8.1564,5.1266
37,1.638,8.5276,1.5378,4.5234,-1.3003,-0.2067,1.6509,0.688,9.61,10.537,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.4055,-0.4821,1.7,2.2579,-0.6386,0,0,0,0.586,0.233,0.767,0,0,0.0,5,SEARCH_PHASE,-1.3003,-0.2067,8.1304,5.1225
38,1.677,8.5012,1.5329,4.5567,-1.3198,-0.2457,1.6656,0.721,9.585,10.528,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.4294,-0.5238,1.7,2.282,-0.643,0,0,0,0.58,0.22,0.78,0,0,0.0,5,SEARCH_PHASE,-1.3198,-0.2457,8.104,5.1176
39,1.718,8.4745,1.5273,4.5902,-1.3369,-0.2828,1.6752,0.754,9.559,10.519,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.4531,-0.5655,1.7,2.3068,-0.6304,0,0,0,0.58,0.221,0.779,0,0,0.0,5,SEARCH_PHASE,-1.3369,-0.2828,8.0772,5.1119
40,1.758,8.4474,1.5209,4.6238,-1.3558,-0.3194,1.6815,0.788,9.533,10.509,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.4766,-0.6074,1.7,2.3322,-0.6338,0,0,0,0.573,0.213,0.787,0,0,0.0,5,SEARCH_PHASE,-1.3558,-0.3194,8.0501,5.1055
